customerid,name,age,email,signupdate,country,purchaseamount
cust1000,bob,25,user1@domain.com,,u.s.,0.18874606370347427
cust1001,alice,35,user1@domain.com,,usa,0.6776831345826235
cust1002,alice,35,user1@domain.com,2021-01-01,u.s.,0.7929688709927211
cust1003,alice,unknown,user1@domain.com,,in,0.18874606370347427
cust1004,alice,35,user1@domain.com,,usa,0.43377213360177586
cust1005,alice,1000,user1@domain.com,,india,0.3099065613546022
cust1006,alice,1000,user1@domain.com,,u.s.,0.8334727169480151
cust1007,alice,45,user1@domain.com,,in,0.6467915956842704
cust1008,bob,35,user1@domain.com,,u.s.,0.09309792989520417
cust1009,bob,45,user1@domain.com,,usa,0.18874606370347427
cust1010,alice,35,user1@domain.com,,usa,0.2876877807031129
cust1011,alice,1000,user1@domain.com,,u.s.,0.21003562025708533
cust1012,alice,45,user1@domain.com,,usa,0.49563780909607147
cust1013,alice,35,user1@domain.com,,usa,0.0
cust1014,alice,35,user1@domain.com,,u.s.,0.07066233028754325
cust1015,charlie,25,user1@domain.com,,in,0.3098342883692117
cust1016,alice,unknown,user1@domain.com,,u.s.,0.36369831190955554
cust1017,alice,unknown,user1@domain.com,2021-01-01,india,0.18157038872541428
cust1018,alice,35,user1@domain.com,,u.s.,0.18874606370347427
cust1019,charlie,25,user1@domain.com,,in,0.17823550668525115
cust1020,alice,35,user1@domain.com,2021-01-01,usa,0.398771359248361
cust1021,alice,25,user1@domain.com,2021-01-01,india,0.2434980124929018
cust1022,alice,35,user1@domain.com,,usa,0.773320943678695
cust1023,bob,unknown,user1@domain.com,,usa,0.03595064787569047
cust1024,alice,25,user1@domain.com,,u.s.,0.3449589592690104
cust1025,alice,25,user1@domain.com,,in,0.4485777708946363
cust1026,alice,unknown,user1@domain.com,,u.s.,0.8004026637757473
cust1027,charlie,1000,user1@domain.com,,usa,0.18874606370347427
cust1028,alice,35,user1@domain.com,,u.s.,0.01094419493056631
cust1029,bob,35,user1@domain.com,2021-01-01,u.s.,0.7345413246605751
cust1030,charlie,35,user1@domain.com,2021-01-01,u.s.,0.7117443601259615
cust1031,alice,45,user1@domain.com,,india,0.10438284032832586
cust1032,bob,45,user1@domain.com,,usa,0.8477104950699499
cust1033,charlie,unknown,user1@domain.com,2021-01-01,usa,0.24768984564555263
cust1034,bob,1000,user1@domain.com,,india,0.7562541944143307
cust1035,alice,25,user1@domain.com,,in,0.6539362965257344
cust1036,alice,35,user1@domain.com,,u.s.,0.18874606370347427
cust1037,charlie,35,user1@domain.com,,in,0.3353260027876723
cust1038,alice,unknown,user1@domain.com,,u.s.,0.3976769397553044
