CustomerID,Name,Age,Email,SignupDate,Country,PurchaseAmount
CUST1000,Bob,25,,,,
CUST1001,Alice,35,user1@domain.com,2021/03/03,usa,668.86
CUST1002,alice,35,user2@domain.com,2021-01-01,U.S.,780.52
CUST1003,Alice,unknown,user3@domain.com,2021/03/03,IN,195.3
CUST1004,Alice,,user4@domain.com,,USA,432.62
CUST1005,Alice,1000,user5@domain.com,,India,312.65
CUST1006,alice,1000,user6@domain.com,2021/03/03,U.S.,819.75
CUST1007,alice,45,user7@domain.com,,IN,638.94
CUST1008,Bob,,user8@domain.com,,,102.66
CUST1009,Bob,45,user9@domain.com,2021/03/03,usa,
CUST1010,,35,,,usa,291.13
CUST1011,Alice,1000,user11@domain.com,01/02/2021,U.S.,215.92
CUST1012,,45,user12@domain.com,,usa,492.54
CUST1013,,,user13@domain.com,01/02/2021,usa,12.49
CUST1014,alice,,user14@domain.com,2021/03/03,,80.93
CUST1015,Charlie,25,user15@domain.com,01/02/2021,IN,312.58
CUST1016,Alice,unknown,user16@domain.com,2021/03/03,U.S.,364.75
CUST1017,,unknown,user17@domain.com,2021-01-01,India,188.35
CUST1018,Alice,,user18@domain.com,2021/03/03,U.S.,
CUST1019,Charlie,25,user19@domain.com,2021/03/03,IN,185.12
CUST1020,Alice,35,,2021-01-01,USA,398.72
CUST1021,Alice,25,user21@domain.com,2021-01-01,India,248.33
CUST1022,Alice,,user22@domain.com,01/02/2021,USA,761.49
CUST1023,BOB,unknown,user23@domain.com,,USA,47.31
CUST1024,alice,25,user24@domain.com,,,346.6
CUST1025,,25,user25@domain.com,,IN,446.96
CUST1026,alice,unknown,user26@domain.com,2021/03/03,,787.72
CUST1027,Charlie,1000,user27@domain.com,2021/03/03,usa,
CUST1028,alice,35,user28@domain.com,01/02/2021,,23.09
CUST1029,BOB,35,user29@domain.com,2021-01-01,,723.93
CUST1030,Charlie,,,2021-01-01,U.S.,701.85
CUST1031,,45,user31@domain.com,2021/03/03,India,113.59
CUST1032,BOB,45,user32@domain.com,01/02/2021,usa,833.54
CUST1033,Charlie,unknown,user33@domain.com,2021-01-01,usa,252.39
CUST1034,BOB,1000,user34@domain.com,,India,744.96
CUST1035,alice,25,user35@domain.com,,IN,645.86
CUST1036,Alice,,user36@domain.com,,,
CUST1037,Charlie,35,user37@domain.com,01/02/2021,IN,337.27
CUST1038,alice,unknown,user38@domain.com,,U.S.,397.66
CUST1039,Alice,35,user39@domain.com,2021/03/03,IN,586.26
CUST1040,alice,,,01/02/2021,usa,346.3
CUST1041,Charlie,1000,user41@domain.com,01/02/2021,India,189.76
CUST1042,Charlie,25,user42@domain.com,,IN,699.51
CUST1043,Charlie,25,user43@domain.com,2021-01-01,U.S.,911.53
CUST1044,Bob,25,user44@domain.com,01/02/2021,India,31.67
CUST1045,Bob,45,user45@domain.com,2021/03/03,usa,
CUST1046,alice,35,user46@domain.com,2021-01-01,IN,359.93
CUST1047,,,user47@domain.com,,U.S.,58.88
CUST1048,,35,user48@domain.com,01/02/2021,USA,94.98
CUST1049,,35,user49@domain.com,01/02/2021,India,25.68
CUST1050,,35,,,IN,300.63
CUST1051,Alice,35,user51@domain.com,2021/03/03,USA,385.67
CUST1052,Alice,unknown,user52@domain.com,,U.S.,744.07
CUST1053,Charlie,35,user53@domain.com,2021/03/03,usa,25.72
CUST1054,BOB,25,user54@domain.com,2021/03/03,IN,
CUST1055,Bob,,user55@domain.com,01/02/2021,U.S.,242.29
CUST1056,Charlie,unknown,user56@domain.com,2021-01-01,,610.88
CUST1057,Bob,35,user57@domain.com,01/02/2021,USA,764.87
CUST1058,BOB,1000,user58@domain.com,01/02/2021,India,545.84
CUST1059,BOB,45,user59@domain.com,,USA,284.52
CUST1060,,45,,2021-01-01,usa,898.83
CUST1061,alice,25,user61@domain.com,2021/03/03,India,732.05
CUST1062,Alice,1000,user62@domain.com,2021-01-01,USA,251.68
CUST1063,,1000,user63@domain.com,01/02/2021,usa,
CUST1064,Bob,35,user64@domain.com,2021/03/03,USA,545.21
CUST1065,alice,25,user65@domain.com,2021-01-01,IN,711.88
CUST1066,Alice,unknown,user66@domain.com,01/02/2021,U.S.,532.52
CUST1067,Charlie,25,user67@domain.com,,IN,864.1
CUST1068,Charlie,25,user68@domain.com,2021-01-01,IN,363.67
CUST1069,BOB,unknown,user69@domain.com,2021-01-01,usa,643.13
CUST1070,Charlie,35,,2021-01-01,IN,325.83
CUST1071,BOB,,user71@domain.com,2021/03/03,,194.41
CUST1072,BOB,25,user72@domain.com,2021/03/03,U.S.,
CUST1073,Bob,,user73@domain.com,,U.S.,149.53
CUST1074,alice,1000,user74@domain.com,,U.S.,981.04
CUST1075,alice,45,user75@domain.com,2021-01-01,U.S.,192.28
CUST1076,Charlie,45,user76@domain.com,,U.S.,719.8
CUST1077,alice,1000,user77@domain.com,2021-01-01,USA,765.93
CUST1078,Charlie,unknown,user78@domain.com,2021-01-01,usa,369.44
CUST1079,Bob,35,user79@domain.com,,IN,423.35
CUST1080,alice,35,,,U.S.,723.68
CUST1081,Charlie,25,user81@domain.com,2021-01-01,India,
CUST1082,Alice,45,user82@domain.com,2021/03/03,India,320.55
CUST1083,Charlie,unknown,user83@domain.com,2021-01-01,USA,940.44
CUST1084,Charlie,45,user84@domain.com,2021-01-01,India,14.96
CUST1085,alice,unknown,user85@domain.com,,U.S.,918.12
CUST1086,alice,1000,user86@domain.com,,USA,509.75
CUST1087,,35,user87@domain.com,2021-01-01,IN,308.11
CUST1088,BOB,unknown,user88@domain.com,,usa,458.74
CUST1089,Charlie,45,user89@domain.com,2021/03/03,USA,166.14
CUST1090,alice,45,,01/02/2021,U.S.,
CUST1091,BOB,1000,user91@domain.com,2021/03/03,IN,302.17
CUST1092,Alice,1000,user92@domain.com,2021/03/03,,602.63
CUST1093,Bob,unknown,user93@domain.com,01/02/2021,U.S.,33.5
CUST1094,Bob,1000,user94@domain.com,2021-01-01,,347.42
CUST1095,Bob,25,user95@domain.com,01/02/2021,,461.17
CUST1096,alice,1000,user96@domain.com,2021/03/03,IN,427.47
CUST1097,Alice,25,user97@domain.com,2021-01-01,IN,207.98
CUST1098,Alice,unknown,user98@domain.com,01/02/2021,India,774.72
CUST1099,Alice,1000,user99@domain.com,,U.S.,
CUST1000,Bob,25,,,,
CUST1001,Alice,35,user1@domain.com,2021/03/03,usa,668.86
CUST1002,alice,35,user2@domain.com,2021-01-01,U.S.,780.52
CUST1003,Alice,unknown,user3@domain.com,2021/03/03,IN,195.3
CUST1004,Alice,,user4@domain.com,,USA,432.62
